Version,Date,JsonParserExample,JsonGeneratorExample
v6.6.0-beta-6-g8217012,2018-11-27,7204,7630
v6.6.0-beta-5-g13cc610,2018-11-27,7264,7850
v6.6.0-beta-2-g2bd280d,2018-11-16,7872,8446
v6.6.0-beta,2018-11-13,8380,8916
v6.5.0-beta,2018-10-13,7384,7874
v6.4.0-beta,2018-09-11,6940,7996
v6.3.0-beta,2018-08-31,6778,7502
v6.2.3-beta,2018-07-19,7108,7664
v6.2.2-beta,2018-07-18,7108,7664
v6.2.1-beta,2018-07-17,7108,7664
v6.2.0-beta,2018-07-12,7108,7664
v6.1.0-beta,2018-07-02,6536,7412
v6.0.1-beta,2018-06-11,6358,7188
v6.0.0-beta,2018-06-07,6358,7188
v5.13.1,2018-02-19,6032,7088
v5.13.0,2018-01-19,6026,7088
v5.12.0,2017-12-11,6026,7088
v5.11.2,2017-10-17,6026,7088
v5.11.1,2017-07-14,6026,6984
v5.11.0,2017-06-25,6216,7504
v5.10.1,2017-06-12,6216,7504
v5.10.0,2017-05-20,6224,7568
v5.9.0,2017-04-24,6224,6958
